N	M	D	H	PowerDemand
1116	2	16	11	9052.6
1117	2	16	12	7866.1
1118	2	16	13	849
1119	2	16	14	5481.5
1120	2	16	15	9187.5
1121	2	16	16	4820.33333333333
1122	2	16	17	729
1123	2	16	18	841.905437354522
1124	2	16	19	1131.53333333333
1125	2	16	20	866.2
1126	2	16	21	866.2
1127	2	16	22	866.2
1128	2	16	23	566.2
1129	2	17	0	429
1130	2	17	1	429
1131	2	17	2	429
1132	2	17	3	429
1133	2	17	4	429
1134	2	17	5	429
1135	2	17	6	609
1136	2	17	7	609
1137	2	17	8	609
1138	2	17	9	609
1139	2	17	10	609
1140	2	17	11	609
