N	M	D	H	Qh
719	1	30	22	9720.69319491311
720	1	30	23	11848.5111515611
721	1	31	0	13857.2734288005
722	1	31	1	15738.4742119518
723	1	31	2	17503.9366024691
724	1	31	3	19183.9284220578
725	1	31	4	20766.8310033227
726	1	31	5	22281.1836616984
727	1	31	6	23733.3399813792
728	1	31	7	25129.0646613938
729	1	31	8	23856.4785709173
730	1	31	9	19271.4002147
731	1	31	10	8961.96612017093
732	1	31	11	44.2458254156008
733	1	31	12	0
734	1	31	13	0
735	1	31	14	0
736	1	31	15	0
737	1	31	16	0
738	1	31	17	0
739	1	31	18	0
740	1	31	19	0
741	1	31	20	0
742	1	31	21	0
743	1	31	22	0
744	1	31	23	0
745	2	1	0	1968.16762856997
746	2	1	1	4892.69453066754
747	2	1	2	7643.86293312214
748	2	1	3	10218.2001055724
749	2	1	4	12632.0957397866
750	2	1	5	14978.5826422487
751	2	1	6	17263.908625273
752	2	1	7	19493.7424195473
753	2	1	8	19508.1307590613
754	2	1	9	16379.8710654987
755	2	1	10	6929.88846347475
756	2	1	11	0
757	2	1	12	0
758	2	1	13	0
759	2	1	14	0
760	2	1	15	0
761	2	1	16	0
762	2	1	17	0
763	2	1	18	0
764	2	1	19	191.625742826318
765	2	1	20	4785.43470596833
766	2	1	21	9012.08581857986
767	2	1	22	12905.6092913004
768	2	1	23	16457.8001267444
769	2	2	0	19700.2949126272
770	2	2	1	22661.7979835623
771	2	2	2	25407.4342992169
772	2	2	3	27937.6710283373
773	2	2	4	30292.0131406836
774	2	2	5	32428.1418663873
775	2	2	6	34366.2824233036
776	2	2	7	36124.7854447527
777	2	2	8	36140.0207811187
778	2	2	9	34477.8513998449
779	2	2	10	31478.900154633
780	2	2	11	27931.6713642572
781	2	2	12	27350.3335829957
782	2	2	13	26999.9346000588
783	2	2	14	27216.3949016374
784	2	2	15	28069.1842658825
785	2	2	16	29573.0834150902
786	2	2	17	31072.3866911644
787	2	2	18	32452.2668369639
788	2	2	19	33743.3331959744
789	2	2	20	34895.1958676594
790	2	2	21	35940.2975664125
791	2	2	22	36868.9929364848
792	2	2	23	37731.1522579703
793	2	3	0	38532.9424581073
794	2	3	1	39279.958879365
795	2	3	2	39977.2782570778
796	2	3	3	40609.9662364113
797	2	3	4	41203.5537615282
798	2	3	5	41703.0432265904
799	2	3	6	42097.6156073777
800	2	3	7	42416.535747185
801	2	3	8	41999.5614170546
802	2	3	9	40914.8993672545
803	2	3	10	39314.1953677627
804	2	3	11	37292.2837406918
805	2	3	12	32390.5055969874
806	2	3	13	28361.0111746668
807	2	3	14	25873.4068806348
808	2	3	15	26225.3741548079
809	2	3	16	27261.5949372835
810	2	3	17	28388.9231775845
811	2	3	18	29450.8455318862
812	2	3	19	30472.9647281192
813	2	3	20	31341.7266397437
814	2	3	21	32051.8047136659
815	2	3	22	32637.4471918484
816	2	3	23	33266.5118533839
817	2	4	0	33915.4335409091
818	2	4	1	34601.912346335
819	2	4	2	35244.3050676868
820	2	4	3	35866.2383962951
821	2	4	4	36450.0680709227
822	2	4	5	36960.2446471731
823	2	4	6	37384.0541492484
824	2	4	7	37749.042103394
825	2	4	8	36521.45164437
826	2	4	9	33075.3843564878
827	2	4	10	28158.810052571
828	2	4	11	23044.1892017552
829	2	4	12	19550.0042031654
830	2	4	13	16965.0550230642
831	2	4	14	15844.1554314663
832	2	4	15	16403.4982367809
833	2	4	16	18640.8876236158
834	2	4	17	20958.0414789116
835	2	4	18	23060.4287599363
